  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.160 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.6676   0.07712   0.07069  -0.1937   0.8545   0.3969
  -4.000   0.6240   0.06422   0.05874  -0.1568   0.7466   0.4558
  -2.900   0.8272   0.08090   0.07507  -0.1819   0.7839   0.5525
  -2.000   0.9411   0.07946   0.07368  -0.1811   0.7595   0.6037
  -1.000   1.0325   0.07638   0.07077  -0.1769   0.7250   0.6500
   0.000   1.1345   0.07275   0.06734  -0.1743   0.6895   0.6988
   1.000   1.2679   0.06758   0.06239  -0.1746   0.6592   0.7469
   2.000   1.4326   0.05865   0.05319  -0.1772   0.5710   0.7871
   3.000   1.5191   0.05747   0.05132  -0.1716   0.4488   0.8199
   4.000   1.5796   0.05905   0.05269  -0.1638   0.3765   0.9998
   5.000   1.6264   0.06277   0.05625  -0.1553   0.3075   0.9998
   6.000   1.6627   0.06785   0.06144  -0.1464   0.2356   0.9998
   7.000   1.6741   0.07540   0.06863  -0.1361   0.1454   0.9998
   8.000   1.6845   0.08343   0.07667  -0.1269   0.0978   0.9998
   9.000   1.6675   0.09530   0.08854  -0.1181   0.0443   0.9998
  10.000   1.6445   0.10928   0.10290  -0.1129   0.0312   0.9998
  -1.000   1.0196   0.07653   0.07092  -0.1756   0.7182   0.6484
  -0.800   1.0448   0.07560   0.07005  -0.1755   0.7143   0.6581
  -0.600   1.0651   0.07501   0.06948  -0.1750   0.7070   0.6688
  -0.400   1.0899   0.07408   0.06860  -0.1749   0.7024   0.6787
  -0.200   1.1182   0.07309   0.06763  -0.1752   0.6996   0.6900
   0.000   1.1345   0.07275   0.06734  -0.1743   0.6895   0.6988
   0.200   1.1607   0.07184   0.06646  -0.1743   0.6843   0.7094
   0.400   1.1895   0.07066   0.06536  -0.1746   0.6807   0.7202
   0.600   1.2199   0.06930   0.06403  -0.1751   0.6777   0.7302
   0.800   1.2377   0.06899   0.06377  -0.1742   0.6648   0.7377
   1.000   1.2679   0.06758   0.06239  -0.1746   0.6592   0.7469
   1.200   1.2942   0.06657   0.06141  -0.1746   0.6491   0.7548
   1.400   1.3265   0.06490   0.05973  -0.1751   0.6386   0.7630
   1.600   1.3588   0.06316   0.05795  -0.1755   0.6211   0.7713
   1.800   1.3959   0.06091   0.05564  -0.1764   0.5989   0.7791
   2.000   1.4326   0.05865   0.05319  -0.1772   0.5710   0.7871
