  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.160 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2538   0.02967   0.02314  -0.0754   0.9449   0.0738
  -4.000  -0.1144   0.02222   0.01432  -0.0813   0.9254   0.0746
  -3.000   0.0288   0.01849   0.01027  -0.0872   0.9058   0.0882
  -2.000   0.1597   0.01505   0.00774  -0.0902   0.8818   0.2974
  -1.000   0.2808   0.01242   0.00709  -0.0882   0.8483   0.9371
   0.000   0.4372   0.01195   0.00607  -0.0961   0.8158   1.0000
   1.000   0.5354   0.01194   0.00567  -0.0924   0.7735   1.0000
   2.000   0.6350   0.01208   0.00551  -0.0889   0.7274   1.0000
   3.000   0.7345   0.01236   0.00552  -0.0855   0.6730   1.0000
   4.000   0.8315   0.01283   0.00571  -0.0816   0.6027   1.0000
   5.000   0.9239   0.01389   0.00639  -0.0774   0.5170   1.0000
   6.000   1.0134   0.01532   0.00745  -0.0732   0.4425   1.0000
   7.000   1.1045   0.01690   0.00902  -0.0698   0.3905   1.0000
   8.000   1.1928   0.01868   0.01089  -0.0662   0.3458   1.0000
   9.000   1.2640   0.02043   0.01274  -0.0599   0.2859   1.0000
  10.000   1.3133   0.02269   0.01505  -0.0507   0.2076   1.0000
