  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.160 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0524   0.03635   0.02866  -0.1175   0.9718   0.0800
  -4.000   0.1898   0.03661   0.02870  -0.1245   0.9473   0.0992
  -3.000   0.4091   0.03531   0.02852  -0.1424   0.8862   0.4305
  -2.000   0.5517   0.03498   0.02860  -0.1449   0.8469   0.6600
  -1.000   0.6701   0.03375   0.02767  -0.1443   0.8173   0.7971
   0.000   0.7969   0.03237   0.02636  -0.1451   0.7901   0.9999
   1.000   0.9356   0.03015   0.02412  -0.1470   0.7673   0.9999
   2.000   0.9947   0.02945   0.02356  -0.1373   0.6998   0.9999
   3.000   1.1473   0.02367   0.01783  -0.1382   0.6514   0.9999
   4.000   1.2973   0.02017   0.01320  -0.1386   0.5016   0.9999
   5.000   1.3548   0.02316   0.01572  -0.1300   0.4198   0.9999
   6.000   1.4188   0.02594   0.01847  -0.1229   0.3653   0.9999
   7.000   1.4641   0.02944   0.02193  -0.1140   0.3051   0.9999
   8.000   1.4978   0.03372   0.02629  -0.1044   0.2387   0.9999
   9.000   1.5178   0.03976   0.03217  -0.0946   0.1596   0.9999
  10.000   1.5396   0.04641   0.03889  -0.0862   0.1137   0.9999
  -4.000   0.1898   0.03661   0.02870  -0.1245   0.9473   0.0992
  -4.100   0.1723   0.03636   0.02847  -0.1232   0.9494   0.0954
  -4.200   0.1562   0.03615   0.02827  -0.1221   0.9524   0.0917
  -4.300   0.1580   0.03666   0.02874  -0.1241   0.9609   0.0906
  -4.400   0.1425   0.03633   0.02840  -0.1231   0.9616   0.0878
  -4.500   0.1249   0.03615   0.02822  -0.1216   0.9624   0.0856
  -4.600   0.1075   0.03626   0.02833  -0.1202   0.9630   0.0836
  -4.700   0.0904   0.03640   0.02853  -0.1189   0.9639   0.0822
  -4.800   0.0747   0.03627   0.02846  -0.1179   0.9659   0.0815
  -4.900   0.0691   0.03657   0.02880  -0.1187   0.9712   0.0809
  -5.000   0.0524   0.03635   0.02866  -0.1175   0.9718   0.0800
  -2.000   0.5517   0.03498   0.02860  -0.1449   0.8469   0.6600
  -1.900   0.5701   0.03498   0.02858  -0.1458   0.8457   0.6760
  -1.800   0.5885   0.03500   0.02858  -0.1468   0.8447   0.6931
  -1.700   0.6066   0.03498   0.02854  -0.1478   0.8440   0.7098
  -0.200   0.7943   0.03228   0.02627  -0.1484   0.8046   0.9999
  -0.300   0.7764   0.03243   0.02644  -0.1475   0.8052   0.9999
  -0.400   0.7588   0.03257   0.02660  -0.1466   0.8060   0.9999
  -0.500   0.7412   0.03271   0.02676  -0.1457   0.8068   0.9999
  -0.600   0.7237   0.03284   0.02692  -0.1448   0.8079   0.9999
  -0.700   0.7065   0.03298   0.02709  -0.1439   0.8091   0.9999
  -0.800   0.6898   0.03310   0.02725  -0.1432   0.8107   0.9999
  -0.900   0.6772   0.03340   0.02751  -0.1432   0.8135   0.8375
  -1.000   0.6701   0.03375   0.02767  -0.1443   0.8173   0.7971
