  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.160 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.5086   0.06018   0.05332  -0.1786   0.8917   0.2820
  -3.000   0.7236   0.06913   0.06297  -0.1789   0.8481   0.5605
  -2.000   0.8253   0.06555   0.05946  -0.1734   0.7932   0.6237
  -1.000   0.9322   0.06363   0.05761  -0.1709   0.7571   0.6825
   0.000   1.0195   0.06075   0.05489  -0.1668   0.7134   0.7336
   1.000   1.1399   0.05666   0.05099  -0.1661   0.6818   0.7814
   2.000   1.2793   0.05000   0.04475  -0.1657   0.6372   0.9998
   3.000   1.4299   0.04310   0.03698  -0.1659   0.5013   0.9998
   4.000   1.4984   0.04481   0.03824  -0.1588   0.4153   0.9998
   5.000   1.5546   0.04782   0.04101  -0.1509   0.3487   0.9998
   6.000   1.5985   0.05204   0.04519  -0.1423   0.2844   0.9998
   7.000   1.6269   0.05792   0.05112  -0.1329   0.2017   0.9998
   8.000   1.6415   0.06533   0.05823  -0.1231   0.1302   0.9998
   9.000   1.6525   0.07367   0.06670  -0.1142   0.0840   0.9998
  10.000   1.6262   0.08711   0.08009  -0.1055   0.0391   0.9998
