  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.160 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5285   0.05516   0.05077  -0.0269   0.9988   0.1198
  -4.000  -0.3998   0.02923   0.02278  -0.0390   0.9519   0.0733
  -3.000  -0.2654   0.02054   0.01261  -0.0433   0.8999   0.0718
  -2.000  -0.1507   0.01701   0.00849  -0.0426   0.8507   0.0805
  -1.000  -0.0513   0.01467   0.00606  -0.0393   0.8044   0.1156
   0.000   0.0203   0.01165   0.00579  -0.0295   0.7646   0.8255
   1.000   0.2599   0.01337   0.00691  -0.0495   0.7282   0.9932
   2.000   0.3805   0.01375   0.00690  -0.0521   0.6905   1.0000
   3.000   0.4799   0.01378   0.00677  -0.0500   0.6499   1.0000
   4.000   0.5773   0.01343   0.00630  -0.0472   0.6048   1.0000
   5.000   0.6714   0.01333   0.00600  -0.0438   0.5445   1.0000
   6.000   0.7612   0.01391   0.00633  -0.0400   0.4825   1.0000
   7.000   0.8441   0.01475   0.00704  -0.0351   0.4288   1.0000
   8.000   0.9252   0.01587   0.00813  -0.0299   0.3861   1.0000
   9.000   1.0087   0.01725   0.00957  -0.0253   0.3463   1.0000
  10.000   1.0898   0.01866   0.01114  -0.0207   0.2953   1.0000

